ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
203198_at	0.000286	1.28e-08	1.81e+01	9.34604	1.12005457	CDK9	cyclin dependent kinase 9
216205_s_at	0.001039	9.33e-08	-1.45e+01	7.95859	-1.07742527	MFN2	mitofusin 2
217749_at	0.001063	1.46e-07	1.38e+01	7.61962	1.67778949	COPG1	coatomer protein complex subunit gamma 1
201011_at	0.001063	1.91e-07	1.34e+01	7.40858	0.99072522	RPN1	ribophorin I
204841_s_at	0.001227	2.91e-07	-1.28e+01	7.07305	-1.50095306	EEA1	early endosome antigen 1
212107_s_at	0.001227	3.51e-07	-1.25e+01	6.9209	-1.42615434	DHX9	DEAH-box helicase 9
219608_s_at	0.001227	3.86e-07	-1.24e+01	6.84407	-1.32299685	FBXO38	F-box protein 38
207334_s_at	0.001363	5.35e-07	-1.20e+01	6.57345	-1.27030058	TGFBR2	transforming growth factor beta receptor 2
214336_s_at	0.001363	5.51e-07	-1.19e+01	6.54976	-1.73436696	COPA	coatomer protein complex subunit alpha
215581_s_at	0.001639	7.36e-07	-1.15e+01	6.30649	-1.30333103	MCM3AP	minichromosome maintenance complex component 3 associated protein
215046_at	0.001925	1.02e-06	-1.11e+01	6.03163	-0.92734577	KANSL1L	KAT8 regulatory NSL complex subunit 1 like
200722_s_at	0.001925	1.04e-06	-1.11e+01	6.01413	-0.7926679	CAPRIN1	cell cycle associated protein 1
203990_s_at	0.00208	1.21e-06	-1.09e+01	5.87859	-0.93304894	KDM6A	lysine demethylase 6A
206473_at	0.002341	1.50e-06	-1.06e+01	5.69706	-1.07982658	MBTPS2	membrane bound transcription factor peptidase, site 2
207549_x_at	0.002341	1.58e-06	-1.06e+01	5.65112	-1.3614836	CD46	CD46 molecule
219549_s_at	0.002384	1.71e-06	1.05e+01	5.57881	0.81491001	RTN3	reticulon 3
208879_x_at	0.003144	2.40e-06	-1.01e+01	5.28075	-0.89083814	PRPF6	pre-mRNA processing factor 6
212514_x_at	0.003192	2.58e-06	-1.00e+01	5.21536	-1.24081007	DDX3X	DEAD-box helicase 3, X-linked
206748_s_at	0.003192	2.72e-06	-9.94	5.16819	-0.91883145	SPAG9	sperm associated antigen 9
200922_at	0.003343	3.38e-06	9.69	4.97351	0.92081032	KDELR1	KDEL endoplasmic reticulum protein retention receptor 1
218359_at	0.003343	3.43e-06	9.67	4.96078	0.74775412	NRSN2	neurensin 2
201383_s_at	0.003343	3.43e-06	-9.67	4.9607	-1.06006725	NBR1	NBR1, autophagy cargo receptor
210077_s_at	0.003343	3.45e-06	-9.67	4.95533	-0.76931742	SRSF5	serine and arginine rich splicing factor 5
210932_s_at	0.00367	4.39e-06	-9.40	4.73863	-1.61358403	RNF6	ring finger protein 6
204864_s_at	0.00367	4.77e-06	-9.31	4.66234	-2.13887389	IL6ST	interleukin 6 signal transducer
203194_s_at	0.00367	4.84e-06	-9.29	4.6487	-0.73296628	NUP98	nucleoporin 98
217211_at	0.00367	4.89e-06	9.28	4.639	0.81501843	ACTBP9	actin, beta pseudogene 9
221245_s_at	0.00367	4.94e-06	-9.27	4.63006	-1.26438619	FZD5	frizzled class receptor 5
207782_s_at	0.00367	5.03e-06	-9.25	4.61353	-0.91327261	PSEN1	presenilin 1
201211_s_at	0.00367	5.12e-06	-9.23	4.59687	-1.29252667	DDX3X	DEAD-box helicase 3, X-linked
208938_at	0.00367	5.14e-06	9.23	4.59315	0.67350954	PRCC	papillary renal cell carcinoma (translocation-associated)
212105_s_at	0.00367	5.36e-06	-9.18	4.55572	-1.85352115	DHX9	DEAH-box helicase 9
215575_at	0.00367	5.44e-06	-9.17	4.54278	-0.77157691	PDE4DIP	phosphodiesterase 4D interacting protein
202243_s_at	0.003804	5.97e-06	-9.07	4.45745	-0.57507679	PSMB4	proteasome subunit beta 4
210944_s_at	0.003804	5.98e-06	-9.07	4.45584	-0.74386073	CAPN3	calpain 3
209460_at	0.003828	6.19e-06	-9.03	4.42426	-0.98197353	ABAT	4-aminobutyrate aminotransferase
208459_s_at	0.003849	6.55e-06	-8.97	4.37186	-0.77864306	XPO7	exportin 7
200796_s_at	0.003849	6.57e-06	-8.97	4.36942	-1.24440548	MCL1	BCL2 family apoptosis regulator
205991_s_at	0.004881	8.55e-06	-8.69	4.12581	-1.69080392	PRRX1	paired related homeobox 1
207361_at	0.004987	9.02e-06	-8.64	4.07527	-1.24199518	HBP1	HMG-box transcription factor 1
205701_at	0.004987	9.18e-06	-8.62	4.0595	-0.7992198	IPO8	importin 8
221762_s_at	0.00507	1.02e-05	8.51	3.96306	0.71485719	PCIF1	PDX1 C-terminal inhibiting factor 1
64899_at	0.00507	1.05e-05	8.48	3.92965	0.76553393	PLPPR2	phospholipid phosphatase related 2
208316_s_at	0.00507	1.06e-05	-8.48	3.92714	-0.70293174	OCRL	OCRL, inositol polyphosphate-5-phosphatase
210188_at	0.00507	1.09e-05	-8.44	3.89508	-0.9550969	GABPA	GA binding protein transcription factor alpha subunit
201545_s_at	0.00507	1.11e-05	8.43	3.88285	0.55941119	BCL2L2-PABPN1///PABPN1	BCL2L2-PABPN1 readthrough///poly(A) binding protein nuclear 1
216574_s_at	0.00507	1.12e-05	-8.41	3.86965	-0.78289584	RPEL1///RPE	ribulose-5-phosphate-3-epimerase like 1///ribulose-5-phosphate-3-epimerase
203796_s_at	0.00507	1.16e-05	8.38	3.83717	1.13885813	BCL7A	BCL tumor suppressor 7A
215780_s_at	0.00507	1.17e-05	8.38	3.8364	1.05945558	SETSIP///SETP4///SET	SET-like protein///SET pseudogene 4///SET nuclear proto-oncogene
204248_at	0.00507	1.18e-05	8.36	3.82278	0.75601489	GNA11	G protein subunit alpha 11
204693_at	0.00507	1.22e-05	8.34	3.79683	0.71941559	CDC42EP1	CDC42 effector protein 1
209055_s_at	0.00507	1.23e-05	-8.32	3.78462	-0.82014063	CDC5L	cell division cycle 5 like
203652_at	0.00507	1.24e-05	8.31	3.77478	0.5188953	MAP3K11	mitogen-activated protein kinase kinase kinase 11
219081_at	0.00507	1.27e-05	-8.29	3.75236	-0.70734413	ANKHD1-EIF4EBP3///ANKHD1	ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1
219868_s_at	0.00507	1.28e-05	-8.29	3.75229	-0.85522607	ANKFY1	ankyrin repeat and FYVE domain containing 1
210458_s_at	0.00507	1.29e-05	-8.28	3.73956	-1.20270477	TANK	TRAF family member associated NFKB activator
210449_x_at	0.00507	1.30e-05	-8.27	3.73599	-1.20450306	MAPK14	mitogen-activated protein kinase 14
211574_s_at	0.005118	1.34e-05	-8.24	3.70486	-1.25421832	CD46	CD46 molecule
200868_s_at	0.005118	1.36e-05	-8.23	3.69479	-0.63971389	RNF114	ring finger protein 114
211317_s_at	0.005136	1.40e-05	-8.20	3.66476	-1.05134106	CFLAR	CASP8 and FADD like apoptosis regulator
217309_s_at	0.005136	1.43e-05	-8.18	3.64549	-0.8337224	DSCR3	DSCR3 arrestin fold containing
AFFX-HUMISGF3A/M97935_5_at	0.005136	1.46e-05	-8.16	3.62628	-1.77418095	STAT1	signal transducer and activator of transcription 1
212008_at	0.005136	1.50e-05	-8.13	3.6024	-1.02528857	UBXN4	UBX domain protein 4
211600_at	0.005136	1.50e-05	8.13	3.60222	0.89770542	PTPRO	protein tyrosine phosphatase, receptor type O
212099_at	0.005136	1.50e-05	8.13	3.5982	1.58085186	RHOB	ras homolog family member B
213292_s_at	0.005136	1.52e-05	-8.12	3.58597	-0.54399067	SNX13	sorting nexin 13
203141_s_at	0.005193	1.56e-05	-8.09	3.56138	-0.67461527	AP3B1	adaptor related protein complex 3 beta 1 subunit
211561_x_at	0.005275	1.65e-05	-8.03	3.50741	-1.10581518	MAPK14	mitogen-activated protein kinase 14
215220_s_at	0.005275	1.70e-05	-8.01	3.4821	-1.70922689	TPR	translocated promoter region, nuclear basket protein
218894_s_at	0.005275	1.72e-05	8.00	3.47126	0.53579301	MAGOHB	mago homolog B, exon junction complex core component
206673_at	0.005275	1.72e-05	-8.00	3.46946	-0.84856667	GPR176	G protein-coupled receptor 176
203357_s_at	0.005275	1.73e-05	-7.99	3.46526	-0.80093718	CAPN7	calpain 7
216294_s_at	0.005275	1.73e-05	-7.99	3.46457	-1.25161494	KIAA1109	KIAA1109
210990_s_at	0.005275	1.75e-05	-7.98	3.45256	-1.06159312	LAMA4	laminin subunit alpha 4
202205_at	0.005301	1.80e-05	7.95	3.42667	0.79723104	VASP	vasodilator-stimulated phosphoprotein
205017_s_at	0.005301	1.81e-05	-7.95	3.42267	-0.98445789	MBNL2	muscleblind like splicing regulator 2
36564_at	0.005325	1.84e-05	7.93	3.40598	0.96931383	RNF19B	ring finger protein 19B
201988_s_at	0.005376	1.89e-05	-7.91	3.38327	-0.7013135	CREBL2	cAMP responsive element binding protein like 2
202122_s_at	0.005376	1.92e-05	7.89	3.36556	0.51292123	PLIN3	perilipin 3
201276_at	0.005376	1.93e-05	7.89	3.3608	0.69191088	RAB5B	RAB5B, member RAS oncogene family
212362_at	0.005458	2.00e-05	-7.85	3.32655	-1.49806234	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
203676_at	0.005458	2.01e-05	-7.85	3.32058	-1.2425672	GNS	glucosamine (N-acetyl)-6-sulfatase
212365_at	0.005458	2.03e-05	-7.84	3.31146	-0.56565457	MYO1B	myosin IB
76897_s_at	0.005571	2.10e-05	-7.81	3.28051	-1.28242723	FKBP15	FK506 binding protein 15
202223_at	0.005606	2.15e-05	7.78	3.2587	1.08767042	STT3A	STT3A, catalytic subunit of the oligosaccharyltransferase complex
